Country,Year,GDP,Life Expectancy,log_GDP,LE_Class
Switzerland,2021,814699.0,83.3,13.610575226298733,1
Tajikistan,2021,8934.0,71.8,9.097731427593528,1
Thailand,2021,506195.0,75.3,13.134679225046925,1
Timor-Leste,2021,3625.0,68.0,8.195885391314796,0
Togo,2021,8338.0,63.9,9.028698584086985,0
Tonga,2021,520.0,72.7,6.255750041753367,1
Trinidad and Tobago,2021,24177.0,71.7,10.093198407761937,1
Tunisia,2021,46813.0,74.1,10.753937582469849,1
Turkmenistan,2021,60934.0,69.1,11.017563001257603,0
Uganda,2021,42805.0,66.0,10.664433558660509,0
Ukraine,2021,199835.0,70.9,12.205252309146271,0
United Arab Emirates,2021,415179.0,78.3,12.936467440116786,1
Uruguay,2021,60742.0,75.0,11.014407128226281,1
Uzbekistan,2021,77340.0,72.2,11.255979494997533,1
Vanuatu,2021,921.0,66.3,6.826545223556594,0
Yemen,2021,19394.0,65.8,9.872770579874068,0
Zambia,2021,22096.0,61.0,10.003197131685106,0
Zimbabwe,2021,36016.0,58.5,10.491746328198644,0
